Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,..,301.516598515387,1015.2208813493,1098.07453750857,1170.74281578324,1281.10597109735,1400.89926526097,1533.31598456036,1671.38540009767,1577.91173993243,1625.2350215138,1786.56081858524
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1077.33354474758,700.163236203967,1559.13904964956,1631.71398553289,1399.67533596847,1426.06548098045,1479.86222292155,1594.06010909489,1538.68791202148,1539.13054650019,1666.93280948232,1588.47872338696
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,21526.3477015733,24271.0020563821,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46547.7951820036,46374.1527517191,43349.677855557,52358.6216405155,54966.4888361088
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..,..,75685.3583652828,76610.647967975,77295.8456647776,78858.2796562866,81255.1122691866,85231.7751511594,89846.3210991824,83897.5052077489,88475.6008787475,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,512.850879091036,243.877580064527,352.226854976587,394.856933074796,351.879754779905,372.135456053456,414.740322572797,435.93229629544,426.408752988942,435.469248170025,461.137510928519,427.058096252078
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,298.367079239041,168.11765824035,980.083544666224,1017.78776234557,774.411603146897,691.98007735414,662.89747343383,720.265100910693,701.621200811434,643.772216240999,685.690314996613,716.804381236651
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,44318.2210969282,..,..,..,58093.9960625367,57683.8938973128,62316.2199488315,61281.3272247009,57339.5268713567,67960.7269955768,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2481.73974319514,5097.11493718915,15833.2759194461,14666.3431168586,13569.9481274733,13785.6875977318,15045.5278507601,15795.7081412484,14627.14501648,13165.3863429858,16247.4010150765,15355.5064965406
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,317.884673040928,959.360412054851,7020.38568208449,7636.07422276004,8016.44601585644,8094.39037512163,8817.04549566316,9905.4061175104,10143.8602060373,10408.7191247747,12617.5049863004,12720.2156397612
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,1467.54743608627,2546.85021319149,8263.64192942212,8167.47284156278,6228.65162186096,5936.26102166829,6449.97098726073,6782.0379203319,6436.50921529531,5304.28912886637,6182.70709867969,6630.28272608054
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,996.528053838927,654.180431028375,1595.98981855871,1608.68787502176,1322.93677460001,1357.26622888841,1414.58668930426,1531.33781085768,1510.7973226286,1519.58677981636,1577.47084066118,1484.8924647255
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,259.805597176304,392.626333784131,444.864357393335,472.266235961574,482.064568490893,456.027950503848,451.089088632243,546.212593331533,575.882781272568,524.666686258939,577.209215199828,586.464288888955
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1173.26443629039,1029.96068877345,3719.65103717713,3622.53007355844,2347.81850686004,1970.25019879955,2088.5002986615,2512.38416688863,2288.80808614703,1838.44812411674,2290.38299445343,2447.98898873051
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,1808.49595860746,3773.03379319679,10633.2665598785,10737.6788753949,11529.9551735671,11899.8139783719,12118.1336180615,12383.1499469519,12669.3411617396,12179.2566742377,12537.2567461753,13198.8217168097
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,906.411513213289,986.777352862812,1903.0542292873,2124.01943006075,1941.5818977126,1999.19537158364,2113.34152529371,2295.5403346362,2290.78737894782,2349.06988200032,2613.37889305378,2486.41219393777
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,..,4952.37775298931,13949.1217681988,13970.9832274478,12071.090955025,12550.7088600004,13562.1440493296,15003.1406807658,15086.2117396215,14236.5352454642,17747.7892862107,18413.2346820557
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2695.61486458131,2752.20378269319,6814.24384354868,7117.52691001591,7683.75789050585,8055.88990736388,8543.36096849045,8831.90722233737,9139.41585605765,9499.59020230432,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..,..,19762.739621629,19552.660553207,19260.269845345,18881.8306152417,18788.8072839326,18956.0979741907,19024.1771511889,16109.8617501685,17717.5964802588,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,9641.5751953125,14388.34765625,27797.453125,27244.34375,23487.21875,24715.142578125,26697.005859375,29419.88671875,29417.921875,28035.984375,31552.03515625,31283.505859375
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,3941.50309406941,6028.5826120265,20133.1691431353,19890.9199056648,17829.6983223668,18575.2320271915,20636.199952435,23424.4804601855,23664.8478631108,22992.8793833348,26822.5141862111,27638.3732756288
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,26891.62750517,30743.3796974953,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59592.9806886454,60915.4243995462,68007.7566732954,66983.1320017138
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,783.695854246259,742.865697154312,2102.19794830208,2239.11453821208,2409.31190224284,2545.73879850905,2655.73321960188,2755.83829341814,2876.04366371536,2917.9962809563,3050.30628163732,3136.11296031934
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,2899.06060116621,4879.14977277925,7240.67911908479,7498.91752183776,7724.04241057376,8223.04145029796,7408.09130082314,7833.19501250117,8561.58701121461,7003.46989117043,7668.15813216962,8414.53659276775
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,992.238964207372,2845.84660974677,6171.29506392047,6533.67096798065,6838.9367346602,7191.06971254766,7513.49795078555,7947.1593538657,8173.34464573914,7167.91493205787,8476.7496882797,10120.5511632969
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,1458.32687154356,1451.53088517998,6050.3546113274,6374.6314856366,6130.58667556768,6079.08873612077,6246.40425217932,6321.34940071717,6233.25816692363,5645.19928965332,5965.13287054416,6391.28248430643
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,751.187490181277,1398.85983078672,3088.8908340843,3196.86138078687,3370.38244716015,3331.61246134688,2439.96728439968,2531.20007864537,3017.25833578941,3571.5569065135,3886.7224983901,4295.40749561014
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,897.59298208612,1977.84061443838,3555.16209958481,3638.51765819162,3761.51368000275,3870.31298246063,3986.04901435439,4145.86235103186,4280.28840404719,3961.72663347599,4664.31122268385,5127.32166823012
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,240.832676063628,1527.05637771592,17644.5943098203,16804.9249314414,9788.98380398511,8035.30766558397,8410.3979803065,8719.18686965442,7317.39002392701,6327.59896192339,7506.66786103709,7053.46708464771
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..,295.19692403481,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,..,4070.60902410208,19056.0019226991,20261.0667303883,17402.0376128079,18295.3429322119,20437.7653767361,23165.8494786433,23424.4847073513,23595.2436836437,27943.701219882,28332.6290917984
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,1305.24561448831,1686.65745124879,4111.12835304282,3928.52291126341,3583.31129031343,3339.99042721438,3824.04678338499,4021.44555622456,3818.54042507683,3372.90463883844,3982.90522931685,4039.51803604474
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,254.295254599846,122.961664711668,490.792474148698,557.534148360438,630.312627132481,705.617512258288,755.752645114994,758.297690230677,840.449603427131,918.652594077418,925.000697216762,1027.58591828225
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,..,23370.7732949015,55560.1361320443,60126.1292136722,52726.6887003408,56833.9143691967,59328.2334807078,62576.803752148,63382.753141994,61979.7954421759,69010.1662014429,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,1713.18024493152,2015.85749571271,4586.95616503226,5305.06340024667,5105.1900392223,5368.43365862436,5825.19881260364,6073.39519537246,5968.31955666383,4864.10600771307,4646.53792141919,5316.65838506043
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,28364.6450765922,24345.9148217032,49892.2233632736,50327.2402902624,42801.9081167285,43814.0265056977,46412.1364777173,49987.6261584959,48629.8582283024,49169.719338849,53489.7520190898,50536.6244670541
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,21865.5552539348,22416.425417915,42602.7179652671,43068.5487241732,36652.9223052178,37062.5335723839,38781.049487084,41557.8548588869,40494.8982936269,39055.2829280747,43658.9789781222,40963.837337041
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,15728.718798864,14346.1862679009,20941.5172242157,21223.0753984013,18252.5141345944,18726.6395043448,19743.9589929011,20614.8943927479,20093.2086174285,18984.6173795396,19999.0767593202,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,6055.06024838035,3991.15715123376,9250.08111738777,9255.3680370136,7090.45463415798,6722.19822197571,6975.69519686527,7694.90604516289,7523.8622784602,6680.08267035331,8635.7971437495,8820.34733810024
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,304.70768102727,544.62095705756,647.385537546887,561.649639269727,611.671217782995,640.67627011057,632.001017887163,683.324637893351,722.875350964205,704.030457831626,772.151452383989,840.010193356007
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,1614.6401223992,749.908534993961,4623.88471369397,4739.27780775509,4014.11224099111,4062.12697838612,4356.9285949639,4722.0424231414,4696.15058555612,4255.74299321254,5023.27438368985,6627.70698037798
